Period Ending,"Nov '25Nov 6, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023"
Market Capitalization,"8,364",-,-
Enterprise Value,"9,285",-,-
Debt / Equity Ratio,1.82,1.90,1.87
Asset Turnover,-,0.32,-
Quick Ratio,0.62,0.49,0.33
Current Ratio,1.33,1.37,1.13
Return on Equity (ROE),-,6.80%,-
Return on Assets (ROA),-,1.94%,-
Return on Capital (ROIC),-,2.10%,-
Return on Capital Employed (ROCE),11.60%,5.30%,-
Payout Ratio,-,16.31%,-
