Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Debt / Equity Ratio,0.32,-,0.09,-
Debt / EBITDA Ratio,0.70,-,2.15,-
Asset Turnover,-,0.09,-,-
Current Ratio,0.07,3.04,0.69,-
Return on Equity (ROE),-,58.27%,-,-
Return on Assets (ROA),-,36.79%,-,-
Return on Capital (ROIC),-,39.47%,-,-
Return on Capital Employed (ROCE),18.40%,45.80%,1.20%,-
