Ticker,PE_Ratio,PB_Ratio,DE_Ratio,PEG_Ratio,FreeCashFlow,AsOfDate,DataCollectedAt
ACGLO,4.6002984,0.36325073,11.84,,8082999808.0,2025-10-17,2025-10-18T00:29:09Z
AAON,66.14966,9.51747,8.581,,-207260256.0,2025-10-17,2025-10-18T00:29:09Z
AAL,14.119048,-2.0221653,,,579500032.0,2025-10-17,2025-10-18T00:29:10Z
ABVX,-30.7053,-121.85284,,,-88009752.0,2025-10-17,2025-10-18T00:29:11Z
ACT,8.056689,1.009375,14.24,,592919232.0,2025-10-17,2025-10-18T00:29:11Z
ACIW,20.65678,3.6178107,68.589,,285156000.0,2025-10-17,2025-10-18T00:29:11Z
ACLX,-38.66222,12.279785,13.389,,-4536125.0,2025-10-17,2025-10-18T00:29:12Z
ACAD,15.706766,4.283371,6.845,,53147376.0,2025-10-17,2025-10-18T00:29:12Z
ADMA,16.894117,8.598803,21.044,,43691500.0,2025-10-17,2025-10-18T00:29:12Z
AAPG,22.483171,18.286894,253.905,,36215124.0,2025-10-17,2025-10-18T00:29:13Z
ACLS,16.914286,2.5469406,7.037,,67295128.0,2025-10-17,2025-10-18T00:29:13Z
ADPT,-17.340425,13.801863,121.388,,-18756124.0,2025-10-17,2025-10-18T00:29:14Z
ACMR,22.933735,2.474488,24.115,,-75642872.0,2025-10-17,2025-10-18T00:29:14Z
ACHC,15.898027,0.70967084,74.737,,-267134000.0,2025-10-17,2025-10-18T00:29:14Z
