Ticker,Name,MarketCap,Sector,Industry
LGND,Ligand Pharmaceuticals Incorpor,3586602752,Healthcare,Biotechnology
IPGP,IPG Photonics Corporation,3578982400,Technology,Semiconductor Equipment & Materials
TENB,"Tenable Holdings, Inc.",3571090432,Technology,Software - Infrastructure
SLNO,"Soleno Therapeutics, Inc.",3542912000,Healthcare,Biotechnology
WRD,WERIDE INC.,3532949248,Technology,Software - Application
HSAI,Hesai Group,3529068032,Consumer Cyclical,Auto Parts
QFIN,"Qfin Holdings, Inc.",3513822720,Financial Services,Credit Services
AMBA,"Ambarella, Inc.",3508396032,Technology,Semiconductor Equipment & Materials
LGN,Legence Corp.,3472365568,Industrials,Engineering & Construction
WGS,GeneDx Holdings Corp.,3461369344,Healthcare,Diagnostics & Research
CARG,"CarGurus, Inc.",3450284032,Consumer Cyclical,Auto & Truck Dealerships
EEFT,"Euronet Worldwide, Inc.",3437040384,Technology,Software - Infrastructure
AAPG,Ascentage Pharma Group Internat,3429418496,Healthcare,Biotechnology
NSIT,"Insight Enterprises, Inc.",3426537984,Technology,Electronics & Computer Distribution
ALHC,"Alignment Healthcare, Inc.",3422973184,Healthcare,Healthcare Plans
INDB,Independent Bank Corp.,3418740992,Financial Services,Banks - Regional
EXPO,"Exponent, Inc.",3408069120,Industrials,Engineering & Construction
COMM,"CommScope Holding Company, Inc.",3401338880,Technology,Communication Equipment
MLYS,"Mineralys Therapeutics, Inc.",3388244224,Healthcare,Biotechnology
FIZZ,National Beverage Corp.,3372201472,Consumer Defensive,Beverages - Non-Alcoholic
CATY,Cathay General Bancorp,3362776320,Financial Services,Banks - Regional
CGON,"CG Oncology, Inc.",3359468544,Healthcare,Biotechnology
VLYPO,Valley National Bancorp - 5.5% ,3339073536,Financial Services,Banks - Regional
AUGO,Aura Minerals Inc.,3335233536,Basic Materials,Gold
PATK,"Patrick Industries, Inc.",3312725760,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FIBK,"First Interstate BancSystem, In",3308230400,Financial Services,Banks - Regional
ZLAB,Zai Lab Limited,3288875520,Healthcare,Biotechnology
OTTR,Otter Tail Corporation,3284554496,Industrials,Conglomerates
ONDS,Ondas Holdings Inc.,3278366976,Technology,Communication Equipment
VSEC,VSE Corporation,3278230528,Industrials,Aerospace & Defense
BITF,Bitfarms Ltd.,3276915712,Financial Services,Capital Markets
GTM,ZoomInfo Technologies Inc.,3253220352,Technology,Software - Application
ETOR,eToro Group Ltd.,3235159040,Financial Services,Capital Markets
FULT,Fulton Financial Corporation,3234173440,Financial Services,Banks - Regional
XENE,Xenon Pharmaceuticals Inc.,3233817088,Healthcare,Biotechnology
RELY,"Remitly Global, Inc.",3221768960,Technology,Software - Infrastructure
FRSH,Freshworks Inc.,3211544064,Technology,Software - Application
FORM,"FormFactor, Inc.",3207951360,Technology,Semiconductor Equipment & Materials
MYRG,"MYR Group, Inc.",3201041152,Industrials,Engineering & Construction
APLS,"Apellis Pharmaceuticals, Inc.",3192609024,Healthcare,Biotechnology
PCH,PotlatchDeltic Corporation - Co,3186708480,Real Estate,REIT - Specialty
RARE,Ultragenyx Pharmaceutical Inc.,3174481664,Healthcare,Biotechnology
PTON,"Peloton Interactive, Inc.",3164245248,Consumer Cyclical,Leisure
WSBC,"WesBanco, Inc.",3160944896,Financial Services,Banks - Regional
ARLP,"Alliance Resource Partners, L.P",3157043200,Energy,Thermal Coal
VC,Visteon Corporation,3148507904,Consumer Cyclical,Auto Parts
PLMR,"Palomar Holdings, Inc.",3137950720,Financial Services,Insurance - Property & Casualty
SRRK,Scholar Rock Holding Corporatio,3136632832,Healthcare,Biotechnology
VLYPP,Valley National Bancorp - 6.25%,3132788736,Financial Services,Banks - Regional
IPAR,"Interparfums, Inc.",3114443776,Consumer Defensive,Household & Personal Products
AGYS,"Agilysys, Inc.",3111067904,Technology,Software - Application
TARS,"Tarsus Pharmaceuticals, Inc.",3106113792,Healthcare,Biotechnology
SIMO,Silicon Motion Technology Corpo,3102369536,Technology,Semiconductors
INTA,"Intapp, Inc.",3092166656,Technology,Software - Application
IMVT,"Immunovant, Inc.",3088894464,Healthcare,Biotechnology
BLKB,"Blackbaud, Inc.",3086629632,Technology,Software - Application
PRVA,"Privia Health Group, Inc.",3086534912,Healthcare,Health Information Services
MGEE,MGE Energy Inc.,3086507008,Utilities,Utilities - Regulated Electric
INDV,Indivior PLC,3084933888,Healthcare,Drug Manufacturers - Specialty & Generic
NVTS,Navitas Semiconductor Corporati,3075138048,Technology,Semiconductors
CSQ,Calamos Strategic Total Return ,3044617472,Financial Services,Asset Management
BL,"BlackLine, Inc.",3043643136,Technology,Software - Application
AMRX,"Amneal Pharmaceuticals, Inc.",3041858048,Healthcare,Drug Manufacturers - Specialty & Generic
AVPT,"AvePoint, Inc.",3041149952,Technology,Software - Infrastructure
CHA,Chagee Holdings Limited,3029715968,Consumer Cyclical,Restaurants
CNTA,Centessa Pharmaceuticals plc,3024696832,Healthcare,Biotechnology
HOVNP,Hovnanian Enterprises Inc - Dep,3007504128,,
MCHB,Mechanics Bancorp,3004969472,Financial Services,Banks - Regional
FHB,"First Hawaiian, Inc.",2996669184,Financial Services,Banks - Regional
CENX,Century Aluminum Company,2995252480,Basic Materials,Aluminum
SBCF,Seacoast Banking Corporation of,2994746112,Financial Services,Banks - Regional
WSFS,WSFS Financial Corporation,2975599360,Financial Services,Banks - Regional
KYIV,Kyivstar Group Ltd.,2964287744,Communication Services,Telecom Services
DAVE,Dave Inc.,2947075328,Technology,Software - Application
AMSC,American Superconductor Corpora,2939750656,Industrials,Specialty Industrial Machinery
PLBL,Polibeli Group Ltd,2938427648,Consumer Cyclical,Department Stores
PPTA,Perpetua Resources Corp.,2935659520,Basic Materials,Other Precious Metals & Mining
SBET,"SharpLink Gaming, Inc.",2931892736,Consumer Cyclical,Gambling
ODD,ODDITY Tech Ltd.,2930531328,Technology,Software - Infrastructure
JOYY,JOYY Inc.,2924091392,Communication Services,Internet Content & Information
ENVX,Enovix Corporation,2902529024,Industrials,Electrical Equipment & Parts
BRZE,"Braze, Inc.",2901849344,Technology,Software - Application
VIAV,Viavi Solutions Inc.,2899353088,Technology,Communication Equipment
ICUI,"ICU Medical, Inc.",2894770176,Healthcare,Medical Instruments & Supplies
METCB,"Ramaco Resources, Inc.",2893963520,Basic Materials,Coking Coal
LIVN,LivaNova PLC,2891672832,Healthcare,Medical Devices
MGRC,McGrath RentCorp,2889147648,Industrials,Rental & Leasing Services
KNSA,"Kiniksa Pharmaceuticals, Ltd.",2870123008,Healthcare,Drug Manufacturers - Specialty & Generic
HTFL,"Heartflow, Inc.",2833799680,Healthcare,Health Information Services
COLM,Columbia Sportswear Company,2822301440,Consumer Cyclical,Apparel Manufacturing
WB,Weibo Corporation,2813473024,Communication Services,Internet Content & Information
METC,"Ramaco Resources, Inc.",2805601792,Basic Materials,Coking Coal
RXRX,"Recursion Pharmaceuticals, Inc.",2796748288,Healthcare,Biotechnology
RNW,ReNew Energy Global plc,2795136256,Utilities,Utilities - Renewable
NCNO,"nCino, Inc.",2781869568,Technology,Software - Application
CNXC,Concentrix Corporation,2780728576,Technology,Information Technology Services
NMIH,NMI Holdings Inc,2776765440,Financial Services,Insurance - Specialty
ALVO,Alvotech,2776366336,Healthcare,Drug Manufacturers - Specialty & Generic
SFNC,Simmons First National Corporat,2761617408,Financial Services,Banks - Regional
SUPN,"Supernus Pharmaceuticals, Inc.",2761599488,Healthcare,Drug Manufacturers - Specialty & Generic
PTRN,Pattern Group Inc. - Series A,2758224640,Technology,Software - Application
NTLA,"Intellia Therapeutics, Inc.",2751837440,Healthcare,Biotechnology
VCYT,"Veracyte, Inc.",2744065024,Healthcare,Diagnostics & Research
BHF,"Brighthouse Financial, Inc.",2742742528,Financial Services,Insurance - Life
MEOH,Methanex Corporation,2738592512,Basic Materials,Chemicals
RUM,Rumble Inc.,2731354368,Communication Services,Internet Content & Information
EXTR,"Extreme Networks, Inc.",2729185536,Technology,Communication Equipment
CDTX,"Cidara Therapeutics, Inc.",2719143936,Healthcare,Biotechnology
SYNA,Synaptics Incorporated,2710713344,Technology,Semiconductors
CAKE,The Cheesecake Factory Incorpor,2710185472,Consumer Cyclical,Restaurants
POWI,"Power Integrations, Inc.",2709697280,Technology,Semiconductors
HCM,HUTCHMED (China) Limited,2704322048,Healthcare,Drug Manufacturers - Specialty & Generic
DRVN,Driven Brands Holdings Inc.,2690905600,Consumer Cyclical,Auto & Truck Dealerships
GRAL,"GRAIL, Inc.",2681235200,Healthcare,Diagnostics & Research
BEAM,Beam Therapeutics Inc.,2679781888,Healthcare,Biotechnology
SGRY,"Surgery Partners, Inc.",2677012224,Healthcare,Medical Care Facilities
IRON,"Disc Medicine, Inc.",2675211264,Healthcare,Biotechnology
IAC,IAC Inc.,2670840320,Communication Services,Internet Content & Information
SEZL,Sezzle Inc.,2663016448,Financial Services,Credit Services
PCT,"PureCycle Technologies, Inc.",2654572032,Industrials,Pollution & Treatment Controls
TOWN,Towne Bank,2633377024,Financial Services,Banks - Regional
MGNI,"Magnite, Inc.",2623707136,Communication Services,Advertising Agencies
BLTE,"Belite Bio, Inc",2610255360,Healthcare,Biotechnology
HURN,Huron Consulting Group Inc.,2610224896,Industrials,Consulting Services
CVBF,CVB Financial Corporation,2604752640,Financial Services,Banks - Regional
NNE,Nano Nuclear Energy Inc.,2593542144,Industrials,Specialty Industrial Machinery
GEMI,"Gemini Space Station, Inc.",2590779904,Financial Services,Capital Markets
ACLS,"Axcelis Technologies, Inc.",2584986880,Technology,Semiconductor Equipment & Materials
SHOO,"Steven Madden, Ltd.",2582066176,Consumer Cyclical,Footwear & Accessories
