Ticker,Name,MarketCap,Sector,Industry
CIFR,Cipher Mining Inc.,8030900224,Financial Services,Capital Markets
HQY,"HealthEquity, Inc.",8028047360,Healthcare,Health Information Services
MASI,Masimo Corporation,7989006848,Healthcare,Medical Devices
SAIA,"Saia, Inc.",7973899776,Industrials,Trucking
ZION,Zions Bancorporation N.A.,7934778880,Financial Services,Banks - Regional
CIGI,Colliers International Group In,7919708672,Real Estate,Real Estate Services
MTCH,"Match Group, Inc.",7863531520,Communication Services,Internet Content & Information
TIGO,Millicom International Cellular,7828236288,Communication Services,Telecom Services
CFLT,"Confluent, Inc.",7813625856,Technology,Software - Infrastructure
COLB,"Columbia Banking System, Inc.",7790419968,Financial Services,Banks - Regional
DBX,"Dropbox, Inc.",7777396224,Technology,Software - Infrastructure
IESC,"IES Holdings, Inc.",7764882432,Industrials,Engineering & Construction
OLLI,Ollie's Bargain Outlet Holdings,7763398144,Consumer Defensive,Discount Stores
HALO,"Halozyme Therapeutics, Inc.",7715077120,Healthcare,Biotechnology
HSIC,"Henry Schein, Inc.",7675077120,Healthcare,Medical Distribution
LKQ,LKQ Corporation,7664764416,Consumer Cyclical,Auto Parts
CGNX,Cognex Corporation,7613380608,Technology,Scientific & Technical Instruments
CBSH,"Commerce Bancshares, Inc.",7613102080,Financial Services,Banks - Regional
VFS,VinFast Auto Ltd.,7607689728,Consumer Cyclical,Auto Manufacturers
CVLT,"Commvault Systems, Inc.",7596822016,Technology,Software - Application
LIF,"Life360, Inc.",7586584576,Technology,Software - Application
PONY,Pony AI Inc.,7571283968,Technology,Information Technology Services
SITM,SiTime Corporation,7557534720,Technology,Semiconductors
AMKR,"Amkor Technology, Inc.",7552691712,Technology,Semiconductor Equipment & Materials
CYTK,"Cytokinetics, Incorporated",7549169664,Healthcare,Biotechnology
WIX,Wix.com Ltd.,7541585408,Technology,Software - Infrastructure
RNA,"Avidity Biosciences, Inc.",7441070592,Healthcare,Biotechnology
ABVX,Abivax SA,7421696000,Healthcare,Biotechnology
GTLB,GitLab Inc.,7384841216,Technology,Software - Infrastructure
SIRI,SiriusXM Holdings Inc.,7284470272,Communication Services,Entertainment
CHYM,"Chime Financial, Inc.",7255799808,Technology,Software - Application
MRUS,Merus N.V.,7191943680,Healthcare,Biotechnology
RYTM,"Rhythm Pharmaceuticals, Inc.",7140160000,Healthcare,Biotechnology
FCFS,"FirstCash Holdings, Inc.",7085021184,Financial Services,Credit Services
WING,Wingstop Inc.,7041811456,Consumer Cyclical,Restaurants
AEIS,"Advanced Energy Industries, Inc",7020830720,Industrials,Electrical Equipment & Parts
BOKF,BOK Financial Corporation,6999447040,Financial Services,Banks - Regional
WAY,Waystar Holding Corp.,6988076032,Healthcare,Health Information Services
SANM,Sanmina Corporation,6944562176,Technology,Electronic Components
PNFP,"Pinnacle Financial Partners, In",6932309504,Financial Services,Banks - Regional
QMMM,QMMM Holdings Limited,6830437376,Communication Services,Advertising Agencies
VRNS,"Varonis Systems, Inc.",6813584896,Technology,Software - Infrastructure
HLNE,Hamilton Lane Incorporated,6808893440,Financial Services,Asset Management
OLED,Universal Display Corporation,6772435968,Technology,Electronic Components
MIDD,The Middleby Corporation,6749372928,Industrials,Specialty Industrial Machinery
ROAD,"Construction Partners, Inc.",6685940736,Industrials,Engineering & Construction
LNW,"Light & Wonder, Inc.",6670815744,Consumer Cyclical,Gambling
LCID,"Lucid Group, Inc.",6648834560,Consumer Cyclical,Auto Manufacturers
LFUS,"Littelfuse, Inc.",6584707584,Technology,Electronic Components
EXLS,"ExlService Holdings, Inc.",6557482496,Technology,Information Technology Services
NUVL,"Nuvalent, Inc.",6465640960,Healthcare,Biotechnology
GDS,GDS Holdings Limited,6463914496,Technology,Information Technology Services
CRSP,CRISPR Therapeutics AG,6451113472,Healthcare,Biotechnology
WULF,TeraWulf Inc.,6406593536,Financial Services,Capital Markets
MKTX,"MarketAxess Holdings, Inc.",6401534976,Financial Services,Capital Markets
AXSM,"Axsome Therapeutics, Inc.",6373417984,Healthcare,Biotechnology
CLSK,"CleanSpark, Inc.",6301889536,Financial Services,Capital Markets
LEGN,Legend Biotech Corporation,6284632576,Healthcare,Biotechnology
CRUS,"Cirrus Logic, Inc.",6269131776,Technology,Semiconductors
CHDN,"Churchill Downs, Incorporated",6120450048,Consumer Cyclical,Gambling
URBN,"Urban Outfitters, Inc.",6083312128,Consumer Cyclical,Apparel Retail
CCCS,CCC Intelligent Solutions Holdi,6079469568,Technology,Software - Application
ITRI,"Itron, Inc.",6053053952,Technology,Scientific & Technical Instruments
SMTC,Semtech Corporation,6041205248,Technology,Semiconductors
LOPE,"Grand Canyon Education, Inc.",6021897728,Consumer Defensive,Education & Training Services
CORZ,"Core Scientific, Inc.",6021088256,Technology,Software - Infrastructure
RRR,"Red Rock Resorts, Inc.",6003442176,Consumer Cyclical,Resorts & Casinos
TTMI,"TTM Technologies, Inc.",5936380416,Technology,Electronic Components
NXST,"Nexstar Media Group, Inc.",5919760384,Communication Services,Broadcasting
VLY,Valley National Bancorp,5859271680,Financial Services,Banks - Regional
GGAL,Grupo Financiero Galicia S.A.,5843884032,Financial Services,Banks - Regional
RDNT,"RadNet, Inc.",5843697664,Healthcare,Diagnostics & Research
PCVX,"Vaxcyte, Inc.",5775841280,Healthcare,Biotechnology
PI,"Impinj, Inc.",5760195584,Technology,Semiconductors
MAT,"Mattel, Inc.",5748047872,Consumer Cyclical,Leisure
GLBE,Global-E Online Ltd.,5743530496,Consumer Cyclical,Internet Retail
GNTX,Gentex Corporation,5731964416,Consumer Cyclical,Auto Parts
IRTC,"iRhythm Technologies, Inc.",5721312256,Healthcare,Medical Devices
BULL,Webull Corporation,5691659264,Technology,Software - Application
OZK,Bank OZK,5682193408,Financial Services,Banks - Regional
CAMT,Camtek Ltd.,5650650112,Technology,Semiconductor Equipment & Materials
GSAT,"Globalstar, Inc.",5640737280,Communication Services,Telecom Services
HUT,Hut 8 Corp.,5632025600,Financial Services,Capital Markets
BRKR,Bruker Corporation,5566583296,Healthcare,Medical Devices
KRYS,"Krystal Biotech, Inc.",5564577280,Healthcare,Biotechnology
MTSR,"Metsera, Inc.",5562922496,Healthcare,Biotechnology
TGTX,"TG Therapeutics, Inc.",5559643136,Healthcare,Biotechnology
OPEN,Opendoor Technologies Inc,5543633408,Real Estate,Real Estate Services
CWST,"Casella Waste Systems, Inc.",5522400768,Industrials,Waste Management
SLM,SLM Corporation,5518501888,Financial Services,Credit Services
CACC,Credit Acceptance Corporation,5516005888,Financial Services,Credit Services
FROG,JFrog Ltd.,5452424704,Technology,Software - Application
PTCT,"PTC Therapeutics, Inc.",5439126528,Healthcare,Biotechnology
BTSG,"BrightSpring Health Services, I",5415435264,Healthcare,Health Information Services
JSM,Navient Corporation - 6% Senior,5413581312,,
BTDR,Bitdeer Technologies Group,5390918656,Technology,Software - Application
UFPI,"UFP Industries, Inc.",5369344512,Basic Materials,Lumber & Wood Production
SNEX,StoneX Group Inc.,5356688384,Financial Services,Capital Markets
CAR,"Avis Budget Group, Inc.",5349412864,Industrials,Rental & Leasing Services
ALGM,"Allegro MicroSystems, Inc.",5325484032,Technology,Semiconductors
ALKS,Alkermes plc,5277542912,Healthcare,Drug Manufacturers - Specialty & Generic
ACIW,"ACI Worldwide, Inc.",5271566848,Technology,Software - Infrastructure
ACT,"Enact Holdings, Inc.",5271113216,Financial Services,Insurance - Specialty
ARWR,"Arrowhead Pharmaceuticals, Inc.",5237196288,Healthcare,Biotechnology
SSRM,SSR Mining Inc.,5186918400,Basic Materials,Gold
CHRD,Chord Energy Corporation,5158954496,Energy,Oil & Gas E&P
UBSI,"United Bankshares, Inc.",5087968256,Financial Services,Banks - Regional
ATAT,Atour Lifestyle Holdings Limite,5063133184,Consumer Cyclical,Lodging
ABTC,American Bitcoin Corp.,5024492544,Financial Services,Capital Markets
HWC,Hancock Whitney Corporation,5018341888,Financial Services,Banks - Regional
TMC,TMC the metals company Inc.,5010854400,Basic Materials,Other Industrial Metals & Mining
ACLX,"Arcellx, Inc.",5008771584,Healthcare,Biotechnology
RUN,Sunrun Inc.,5006897152,Technology,Solar
REYN,Reynolds Consumer Products Inc.,5000478720,Consumer Cyclical,Packaging & Containers
SIGI,"Selective Insurance Group, Inc.",4999765504,Financial Services,Insurance - Property & Casualty
OMAB,Grupo Aeroportuario del Centro ,4948178944,Industrials,Airports & Air Services
ENPH,"Enphase Energy, Inc.",4931919360,Technology,Solar
VSAT,"ViaSat, Inc.",4917377024,Technology,Communication Equipment
DOOO,BRP Inc.,4905210368,Consumer Cyclical,Recreational Vehicles
SLMBP,SLM Corporation - Floating Rate,4894520832,Financial Services,Credit Services
UPST,"Upstart Holdings, Inc.",4845092352,Financial Services,Credit Services
FTDR,"frontdoor, inc.",4796404224,Consumer Cyclical,Personal Services
PTGX,"Protagonist Therapeutics, Inc.",4787161088,Healthcare,Biotechnology
EOSE,"Eos Energy Enterprises, Inc.",4785768448,Industrials,Electrical Equipment & Parts
STNE,StoneCo Ltd.,4777986048,Technology,Software - Infrastructure
MMSI,"Merit Medical Systems, Inc.",4759736320,Healthcare,Medical Instruments & Supplies
QUBT,Quantum Computing Inc.,4757486592,Technology,Computer Hardware
QLYS,"Qualys, Inc.",4713580544,Technology,Software - Infrastructure
CLBT,Cellebrite DI Ltd.,4699918848,Technology,Software - Infrastructure
