Year Ending,"Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021"
"Selling, General & Admin",1.73,1.54,0.85
Research & Development,1.07,1.29,1.56
Operating Expenses,2.8,2.83,2.4
Operating Income,-2.8,-2.83,-2.4
Interest Expense / Income,0.7,0.76,0.83
Other Expense / Income,0.9,3.04,0.97
Pretax Income,-4.4,-6.63,-4.2
Net Income,-4.4,-6.63,-4.2
Free Cash Flow,-2.6,-3.22,-2.12
EBITDA,-3.57,-5.75,-3.25
Depreciation & Amortization,0.13,0.12,0.12
EBIT,-3.7,-5.87,-3.37
